🇨🇳｜央视频道,#genre#
CCTV1,http://ott.mobaibox.com/PLTV/4/224/3221228581/index.m3u8$4K
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221227725/index.m3u8$8M1080HEVC
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221228118/index.m3u8$8M1080HEVC
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221228499/index.m3u8$4K
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221228188/index.m3u8$8M1080HEVC
CCTV4,http://ott.mobaibox.com/PLTV/3/224/3221228156/index.m3u8$7.5M1080HEVC
CCTV5,http://ott.mobaibox.com/PLTV/3/224/3221228502/index.m3u8$4K
CCTV5,http://ott.mobaibox.com/PLTV/3/224/3221227537/index.m3u8$Max16M1080
CCTV5+,http://ott.mobaibox.com/PLTV/3/224/3221227502/index.m3u8$Max16M1080
CCTV6,http://ott.mobaibox.com/PLTV/4/224/3221228516/index.m3u8$Max16M1080
CCTV7,http://ott.mobaibox.com/PLTV/3/224/3221227626/index.m3u8$8M1080
CCTV8,http://ott.mobaibox.com/PLTV/4/224/3221228578/index.m3u8$Max16M1080
CCTV9,http://ott.mobaibox.com/PLTV/3/224/3221227614/index.m3u8$8M1080
CCTV10,http://ott.mobaibox.com/PLTV/3/224/3221227620/index.m3u8$8M1080HEVC
CCTV11,http://ott.mobaibox.com/PLTV/3/224/3221227720/index.m3u8$5.5M1080HEVC
CCTV12,http://ott.mobaibox.com/PLTV/3/224/3221227637/index.m3u8$8M1080
CCTV13,http://ott.mobaibox.com/PLTV/3/224/3221228224/index.m3u8$8M1080
CCTV14,http://ott.mobaibox.com/PLTV/3/224/3221227693/index.m3u8$8M1080
CCTV15,http://ott.mobaibox.com/PLTV/3/224/3221227723/index.m3u8$5.5M1080HEVC
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228314/index.m3u8$江苏移动18M4K
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8$江苏移动34MHDR4K
CCTV17,http://ott.mobaibox.com/PLTV/3/224/3221227726/index.m3u8$5.5M1080HEVC
CCTV4K,http://ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8$江苏移动HEVC16M4K
CCTV8K超高清,http://ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8$江苏移动HEVC30M4KHDR
未知频道,http://ott.mobaibox.com/PLTV/3/224/3221227579/index.m3u8

CGTN,http://223.110.242.130:6610/gitv/live1/G_CCTV-NEWS/G_CCTV-NEWS$江苏移动
CGTN,http://111.20.33.93/TVOD/88888888/224/3221225745/index.m3u8$超清1080P
CGTNDocumentary,http://223.110.242.130:6610/cntv/live1/cctv-9/cctv-9$江苏移动
CETV1,http://39.135.16.142:6060/PLTV/88888888/224/3221225723/1/index.m3u8?fmt=ts2hls$蓝光
CETV1,https://txycsbl.centv.cn/zb/0628cetv1.m3u8$超清1080P
CETV1,http://111.20.33.93/TVOD/88888888/224/3221225753/index.m3u8$超清1080P
CETV2,http://223.110.242.130:6610/gitv/live1/G_CETV-2/G_CETV-2/
CETV2,http://111.20.33.93/TVOD/88888888/224/3221225756/index.m3u8$超清1080P
CETV3,http://223.110.242.130:6610/gitv/live1/G_CETV-3/G_CETV-3/
CETV4,http://223.110.242.130:6610/gitv/live1/G_CETV-4/G_CETV-4/

🇨🇳｜卫视频道,#genre#

北京卫视,http://ott.mobaibox.com/PLTV/3/224/3221227508/index.m3u8$Max16M1080

天津卫视,http://ott.mobaibox.com/PLTV/3/224/3221227488/index.m3u8$Max16M1080

东方卫视,http://ott.mobaibox.com/PLTV/3/224/3221227511/index.m3u8$江苏移动16M

重庆卫视,http://ott.mobaibox.com/PLTV/3/224/3221228133/index.m3u8$8M1080

浙江卫视,http://ott.mobaibox.com/PLTV/3/224/3221227491/index.m3u8$Max16M1080

江苏卫视,http://ott.mobaibox.com/PLTV/3/224/3221228097/index.m3u8$Max16M1080

湖南卫视,http://ott.mobaibox.com/PLTV/3/224/3221227482/index.m3u8$Max16M1080

湖北卫视,http://ott.mobaibox.com/PLTV/3/224/3221227479/index.m3u8$Max16M1080

广东卫视,http://ott.mobaibox.com/PLTV/3/224/3221227476/index.m3u8$Max16M1080

深圳卫视,http://ott.mobaibox.com/PLTV/3/224/3221227555/index.m3u8$Max16M1080

凤凰卫视,http://ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8$江苏移动8M1080P

山东卫视,http://ott.mobaibox.com/PLTV/3/224/3221227517/index.m3u8$Max16M1080

四川卫视,http://ott.mobaibox.com/PLTV/3/224/3221228171/index.m3u8$8M1080

安徽卫视,http://ott.mobaibox.com/PLTV/3/224/3221227558/index.m3u8$Max16M1080

黑龙江卫视,http://ott.mobaibox.com/PLTV/3/224/3221227514/index.m3u8$Max16M1080

辽宁卫视,http://ott.mobaibox.com/PLTV/3/224/3221227485/index.m3u8$Max16M1080

河北卫视,http://ott.mobaibox.com/PLTV/3/224/3221228106/index.m3u8$8M1080

河南卫视,http://ott.mobaibox.com/PLTV/3/224/3221228221/index.m3u8$8M1080

东南卫视,http://ott.mobaibox.com/PLTV/3/224/3221227670/index.m3u8$江苏移动HEVC5.5M

江西卫视,http://ott.mobaibox.com/PLTV/3/224/3221228109/index.m3u8$8M1080

广西卫视,http://ott.mobaibox.com/PLTV/3/224/3221228183/index.m3u8$8M1080P

山西卫视,http://player.521fanli.cn/1691/0/tide/tidem3u8.php?id=shanxihd$高清720P

陕西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8

海南卫视,http://ott.mobaibox.com/PLTV/3/224/3221228139/index.m3u8$2.5M1080

云南卫视,http://ott.mobaibox.com/PLTV/3/224/3221228169/index.m3u8$4M1080P

吉林卫视,http://ott.mobaibox.com/PLTV/3/224/3221228130/index.m3u8$8M1080

贵州卫视,http://ott.mobaibox.com/PLTV/3/224/3221228136/index.m3u8$8M1080

南方卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8?

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8$高清720P

澳门卫视,http://103.233.191.134:1935/ch3/ch3.live/playlist.m3u8$高清720P

澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8$标清576P

甘肃卫视,http://ott.mobaibox.com/PLTV/3/224/3221228166/index.m3u8$8M1080

新疆卫视,http://ott.mobaibox.com/PLTV/3/224/3221228290/index.m3u8$4M1080拉伸

人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8$高清1080P

🇨🇳｜港澳台,#genre#
凤凰中文,http://ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8$江苏移动8M1080P
凤凰资讯,http://ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8$江苏移动8M1080P
凤凰香港台,http://ott.mobaibox.com/PLTV/3/224/3221228530/index.m3u8$江苏移动8M1080P


🚀｜重庆,#genre#
重庆卫视,http://ott.mobaibox.com/PLTV/3/224/3221228133/index.m3u8$8M1080
重庆新闻,https://sjlivecdn9.cbg.cn/202906282314/app_2/_definst_/ls_3.stream/chunklist.m3u8
重庆新农村,https://sjlivecdn9.cbg.cn/202906282314/app_2/_definst_/ls_18.stream/chunklist.m3u8

🚀｜江苏,#genre#
江苏城市,http://223.110.242.130:6610/gitv/live1/G_JSCS/G_JSCS/
江苏公共,http://223.110.242.130:6610/gitv/live1/G_JSGG/G_JSGG/
江苏教育,http://223.110.242.130:6610/gitv/live1/G_JSJY/G_JSJY/
江苏体育,http://223.110.242.130:6610/gitv/live1/G_JSTY/G_JSTY/
江苏影视,http://223.110.242.130:6610/gitv/live1/G_JSYS/G_JSYS/
江苏综艺,http://223.110.242.130:6610/gitv/live1/G_JSZY/G_JSZY/
无锡都市资讯,http://live-wx.wifiwx.com/wxtv3/sd/live.m3u8
无锡经济,http://live-wx.wifiwx.com/wxtv5/sd/live.m3u8
无锡生活,http://live-wx.wifiwx.com/wxtv4/sd/live.m3u8
无锡新闻综合,http://ott.mobaibox.com/PLTV/1/224/3221228103/1.m3u8
无锡新闻综合,http://live-wx.wifiwx.com/wxtv1/sd/live.m3u8
无锡娱乐,http://live-wx.wifiwx.com/wxtv2/sd/live.m3u8
宜兴新闻频道,http://live-dft-hls-yf.jstv.com/live/yixing_xw/online.m3u8

🎬｜付费频道,#genre#
求索记录,http://39.134.66.66/PLTV/88888888/224/3221225713/index.m3u8$黑龙江移动
求索科学,http://39.134.66.66/PLTV/88888888/224/3221225728/index.m3u8$黑龙江移动
求索动物,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8$黑龙江移动
求索生活,http://39.134.66.66/PLTV/88888888/224/3221225715/index.m3u8$黑龙江移动
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8

🎬｜影院轮播,#genre#
江苏8K测试,http://ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8

4KUHD,http://ott.mobaibox.com/PLTV/3/224/3221227506/index.m3u8$江苏移动HEVC16M4K
4KUHD,http://ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8$江苏移动HEVC25M4KHDR

4K修复,http://ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8江苏移动HEVC7M4K

4KUHD,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225786/2/index.m3u8
CNC英文,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225693/2/index.m3u8
CNC中文,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225694/2/index.m3u8

东方影视,http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8$超清1080P
淘电影,http://111.13.42.234/PLTV/88888888/224/3221226552/1.m3u8$超清1080P
IPTV电影,http://hms563nc1880172786.live.aikan.miguvideo.com/wh7f454c46tw3279865347_1298155843/PLTV/88888888/224/3221231733/1.m3u8$高清1080P
动作电影,http://111.40.196.31/PLTV/88888888/224/3221225620/index.m3u8$高清1080P
动作电影,http://111.40.196.37/PLTV/88888888/224/3221225620/index.m3u8$高清1080P
惊悚悬疑,http://111.40.196.32/PLTV/88888888/224/3221225638/index.m3u8$高清1080P
惊悚悬疑,http://111.40.196.37/PLTV/88888888/224/3221225638/index.m3u8$高清1080P
超级电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225623/index.m3u8$高清1080P
超级电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225623/index.m3u8$高清1080P
超级电影,http://39.134.66.4/PLTV/88888888/224/3221225644/index.m3u8$高清1080P
中国功夫,http://39.135.138.58:18890/PLTV/88888888/224/3221225660/1.m3u8$高清1080P
中国功夫,http://39.134.66.4/PLTV/88888888/224/3221225604/index.m3u8$高清1080P
中国功夫,http://39.135.138.60:18890/PLTV/88888910/224/3221225660/index.m3u8$高清1080P
明星大片,http://39.134.115.163:8080/PLTV/88888910/224/3221225716/index.m3u8$高清1080P
明星大片,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/1.m3u8$高清1080P
贺岁影院,http://txtest-xp2p.p2p.huya.com/src/1524418118-1524418118-6547325962239868928-3048959692-10057-A-0-1.xs$高清1080P
电影大片,http://txtest-xp2p.p2p.huya.com/src/1448738174-1448738174-6222283077796757504-2847699112-10057-A-0-1.xs$高清1080P
仙侠玄幻,http://txtest-xp2p.p2p.huya.com/src/1423787882-1423787882-6115122389631107072-2847699220-10057-A-0-1.xs$高清1080P
